company,ltp,market cap(in cr),listing open,listing close,issue type,listing date,issue size (in Cr),issue price (in rupee),qib subscription,hni subscription,retail subscription,total subscription,listing gain %,current gain %,lot size,sector,industry,minimum_investment_rupee,subscription_status,min_price_range,max_price_range,no_of_share,change_in_cffoa,change_in_ebitda,change_in_eps,change_in_net_profit,change_in_npm_percent,change_in_roce_percent,change_in_roe_percent,change_in_debt_to_equity_ratio,CAGR
Nova Agritech,58.1,537.6,55.0,57.8,MainBoard,2024-01-31,143.8,41.0,79.3,224.1,77.1,109.4,34.1,41.7,365,FERTILIZERS,FERTILIZERS,14235,Oversubscribed,39.0,41.0,351.0,58.8235,40.1361,80.0,127.4448,90.9091,41.3766,57.6071,-7.6923,41.7
Omfurn,99.5,117.2,76.6,76.6,SME,2024-03-28,27.0,75.0,0.8,3.8,7.1,3.4,2.1,32.7,2400,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,170400,Oversubscribed,71.0,75.0,36.0,11.1111,280.9524,512.5,221.9298,533.3333,757.3585,443.6652,-42.8571,32.7
Owais Metal & Mineral,532.2,967.7,250.0,262.5,SME,2024-03-04,42.7,87.0,47.5,428.1,339.9,206.9,187.4,511.7,1600,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,132800,Oversubscribed,83.0,87.0,49.0,0.0,129.2308,0.0,98.6486,0.0,39.6278,0.0,0.0,511.7
Piotex Industries,62.2,31.8,109.0,114.3,SME,2024-05-17,14.5,94.0,38.9,115.5,88.6,102.0,16.0,-33.8,1200,TEXTILES APPARELS & ACCESSORIES,TEXTILES,112800,Oversubscribed,94.0,94.0,15.0,180.0,242.8571,280.0,264.1304,314.2857,17.505,33.6525,-74.2857,-33.8
Platinum Industries,303.1,1664.5,225.0,221.2,MainBoard,2024-03-05,235.3,171.0,151.0,141.8,51.0,99.0,31.6,77.2,87,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,14094,Oversubscribed,162.0,171.0,138.0,1063.6364,603.8462,666.6667,201.1132,689.5833,-31.8865,-43.1079,-57.1429,77.2
Pratham EPC Projects,142.7,259.8,113.3,119.0,SME,2024-03-18,36.0,75.0,37.3,426.6,238.5,166.1,51.1,90.2,1600,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,113600,Oversubscribed,71.0,75.0,48.0,-336.6667,353.8462,600.0,313.0081,600.0,74.1878,123.4244,166.6667,90.2
Premier Roadlines,86.5,197.8,87.0,91.3,SME,2024-05-17,40.4,67.0,47.8,239.7,141.5,109.3,29.9,29.1,2000,TRANSPORTATION,WAREHOUSING & LOGISTICS,126000,Oversubscribed,63.0,67.0,60.0,-258.3333,178.7234,342.8571,126.6667,350.0,41.1287,173.073,-6.6667,29.1
Pune E-Stock Broking,197.0,308.3,130.0,133.2,SME,2024-03-15,38.2,83.0,123.0,357.5,338.9,296.6,56.6,137.3,1600,BANKING AND FINANCE,CAPITAL MARKETS,124800,Oversubscribed,78.0,83.0,46.0,40.0,36.6071,47.619,35.0526,49.2308,8.3217,12.5,0.0,137.3
Purv Flexipack,73.0,153.2,260.0,247.0,SME,2024-03-05,40.2,71.0,79.9,938.9,589.1,386.9,266.2,2.8,1600,COMMERCIAL SERVICES & SUPPLIES,CONTAINERS & PACKAGING,112000,Oversubscribed,70.0,71.0,57.0,483.0508,82.5503,44.4444,-26.4069,45.614,8.8021,12.6819,33.3333,2.8
Qualitek Labs,314.0,313.4,190.0,199.5,SME,2024-01-29,19.6,100.0,38.9,74.8,37.2,56.0,90.0,214.0,1200,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,120000,Oversubscribed,100.0,100.0,20.0,414.2857,400.0,500.0,113.931,500.0,-98.7662,114.9836,104.908,214.0
Quest Laboratories,112.0,183.5,155.1,147.3,SME,2024-05-23,43.2,97.0,29.6,250.7,76.8,79.3,59.9,15.5,1200,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,111600,Oversubscribed,93.0,97.0,44.0,227.2727,440.0,675.0,279.0698,614.2857,185.4039,200.9892,-40.0,15.5
R K Swamy,165.5,835.6,250.0,262.6,MainBoard,2024-03-12,423.6,288.0,20.6,34.4,34.0,25.9,-13.2,-42.5,50,MEDIA,ADVERTISING & MEDIA,13500,Oversubscribed,270.0,288.0,147.0,-41.483,118.4028,933.3333,503.3898,979.3103,552.0147,-22.6204,-99.2806,-42.5
Radiowalla Network,62.6,44.1,120.2,126.2,SME,2024-04-05,14.3,76.0,46.1,646.3,463.1,282.1,58.1,-17.6,1600,MEDIA,ADVERTISING & MEDIA,115200,Oversubscribed,72.0,76.0,19.0,175.0,400.0,1400.0,319.5402,900.0,1.2969,131.87,102.5641,-17.6
Ramdevbaba Solvent,133.3,304.9,112.0,117.6,SME,2024-04-23,50.3,85.0,34.9,416.4,105.8,116.9,31.8,56.9,1600,FMCG,EDIBLE OILS,128000,Oversubscribed,80.0,85.0,59.0,-4.386,78.9474,156.0,55.5556,153.4483,43.6726,54.5043,40.0,56.9
Rashi Peripherals,296.4,1952.9,339.5,321.5,MainBoard,2024-02-14,600.0,311.0,143.7,62.8,10.4,59.7,9.2,-4.7,48,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING & DISTRIBUTION,14160,Oversubscribed,295.0,311.0,193.0,100.0,24.3494,-5.5556,-43.4783,-5.4448,-23.5348,-46.7635,25.0,-4.7
Refractory Shapes,54.9,119.7,75.0,78.8,SME,2024-05-14,18.6,31.0,48.2,616.8,344.2,237.1,141.9,77.1,4000,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,108000,Oversubscribed,27.0,31.0,60.0,-67.3077,39.3939,28.5714,-32.6203,18.75,-1.3006,-12.5571,20.0,77.1
Rudra Gas Enterprise,98.0,81.7,119.7,125.7,SME,2024-02-15,14.2,63.0,38.9,281.9,383.5,332.7,90.0,55.6,2000,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,126000,Oversubscribed,63.0,63.0,22.0,-146.1538,146.6667,193.3333,62.1681,176.9231,66.349,-4.5407,-42.1053,55.6
Rulka Electricals,140.0,59.6,525.0,498.8,SME,2024-05-24,26.4,235.0,108.5,1794.0,874.5,629.4,123.4,-40.4,600,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,133800,Oversubscribed,223.0,235.0,11.0,-1100.0,272.7273,407.6923,118.2482,460.0,70.6204,54.3865,-28.5714,-40.4
SRM Contractors,473.0,1085.3,215.3,226.0,MainBoard,2024-04-03,130.2,210.0,59.6,214.9,47.0,86.6,2.5,125.2,70,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,14000,Oversubscribed,200.0,210.0,62.0,55.0725,117.4157,141.1765,29.7297,141.0256,56.8316,0.4073,-46.1538,125.2
Sadhav Shipping,120.9,173.5,135.0,141.8,SME,2024-03-01,38.2,95.0,38.9,175.7,65.8,120.7,42.1,27.3,1200,TRANSPORTATION,SHIPPING,114000,Oversubscribed,95.0,95.0,40.0,82.6087,36.9231,134.7826,82.4176,136.3636,11.1702,83.6081,133.3333,27.3
Shivam Chemicals,62.0,105.3,48.0,47.4,SME,2024-04-30,20.2,44.0,38.9,4.2,8.4,6.3,9.1,40.9,3000,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,132000,Oversubscribed,44.0,44.0,46.0,293.3333,217.6471,320.0,153.3333,300.0,-8.3805,64.0635,233.3333,40.9
Shree Karni Fabcom,567.1,409.9,260.0,273.0,SME,2024-03-14,42.5,227.0,60.0,614.0,439.1,275.8,14.5,149.8,600,TEXTILES APPARELS & ACCESSORIES,TEXTILES,132000,Oversubscribed,220.0,227.0,19.0,-107.4074,300.0,266.6667,-6.2232,273.3333,25.9191,-6.6929,-36.3636,149.8
Shree Marutinandan Tubes,118.1,40.9,200.0,210.0,SME,2024-01-19,14.3,143.0,38.9,33.0,56.7,44.9,39.9,-17.4,1000,METALS & MINING,IRON & STEEL PRODUCTS,143000,Oversubscribed,143.0,143.0,10.0,85.1852,250.0,1350.0,1054.0541,1900.0,167.4507,239.8737,-79.0698,-17.4
Signoria Creation,107.0,50.9,131.0,137.6,SME,2024-03-19,9.3,65.0,41.9,1962.0,888.2,626.1,101.5,64.6,2000,TEXTILES APPARELS & ACCESSORIES,TEXTILES,122000,Oversubscribed,61.0,65.0,14.0,-3700.0,1375.0,2200.0,173.6086,2466.6667,105.4316,8.7701,-70.3704,64.6
Silkflex Polymers,90.0,104.5,60.0,58.7,SME,2024-05-15,18.1,52.0,38.9,34.6,31.1,32.8,15.4,73.1,2000,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,104000,Oversubscribed,52.0,52.0,35.0,100.0,73.3333,75.0,5.0459,60.0,39.8675,8.9468,25.0,73.1
Slone Infosystems,320.0,168.6,118.5,112.6,SME,2024-05-10,11.1,79.0,38.9,718.1,514.2,616.1,50.0,305.1,1600,HARDWARE TECHNOLOGY & EQUIPMENT,COMPUTER HARDWARE,126400,Oversubscribed,79.0,79.0,14.0,210.0,137.5,180.0,-1.2,166.6667,183.7931,144.2149,-45.8333,305.1
Sona Machinery,78.0,107.0,125.0,131.3,SME,2024-03-13,51.8,143.0,68.9,737.7,312.2,254.4,-12.6,-45.5,1000,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,136000,Oversubscribed,136.0,143.0,36.0,271.875,2900.0,2700.0,106.087,2466.6667,13.3091,-8.4839,-71.4286,-45.5
Stanley Lifestyles,337.6,1928.6,494.9,474.8,MainBoard,2024-06-28,537.0,369.0,222.1,119.5,19.2,97.0,34.1,-8.5,40,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING,14040,Oversubscribed,351.0,369.0,146.0,733.3333,212.0879,650.0,246.3636,521.4286,139.8204,554.7945,0.0,-8.5
Storage Technologies,83.5,107.3,148.2,153.1,SME,2024-05-08,29.9,78.0,117.9,422.8,242.7,258.6,90.0,7.1,1600,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,116800,Oversubscribed,73.0,78.0,38.0,100.0,57.1429,-12.5,-43.3333,-10.0,-9.8709,-13.9353,166.6667,7.1
TAC Infosec,855.0,896.0,290.0,304.5,SME,2024-04-05,30.0,106.0,75.1,1022.0,576.3,392.6,173.6,706.6,1200,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,120000,Oversubscribed,100.0,106.0,28.0,88.8889,500.0,700.0,318.4818,750.0,65.4011,116.0995,0.0,706.6
TBI Corn,112.8,204.9,198.0,207.9,SME,2024-06-07,44.9,94.0,43.2,686.2,258.6,215.1,110.6,20.1,1200,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,108000,Oversubscribed,90.0,94.0,48.0,27.5362,356.0,3400.0,1474.2857,3100.0,289.2818,714.8069,-46.6667,20.1
TBO Tek,1392.0,15115.4,1426.0,1406.3,MainBoard,2024-05-15,1550.8,920.0,125.5,50.6,25.7,86.7,55.0,51.3,16,DIVERSIFIED CONSUMER SERVICES,TRAVEL SUPPORT SERVICES,14000,Oversubscribed,875.0,920.0,169.0,369.17,1578.5124,529.0323,157.956,523.1672,10185.7143,353.3772,0.0,51.3
TGIF Agribusiness,93.5,24.2,150.0,142.5,SME,2024-05-15,6.4,93.0,38.9,29.2,35.3,35.1,61.3,0.5,1200,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,111600,Oversubscribed,93.0,93.0,0.006876,44.4444,180.0,233.3333,164.9509,225.0,391.3302,399.5946,-18.1818,0.5
Teerth Gopicon,135.3,162.3,125.0,131.3,SME,2024-04-16,44.4,111.0,38.9,92.4,42.1,67.2,12.6,21.9,1200,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,133200,Oversubscribed,111.0,111.0,40.0,3300.0,181.8182,275.0,358.0,260.0,443.75,190.9091,-75.0,21.9
Thaai Casting,108.3,250.4,185.9,195.2,SME,2024-02-23,47.2,77.0,76.0,960.4,467.9,345.9,141.4,40.6,1600,METALS & MINING,IRON & STEEL/INTERM.PRODUCTS,116800,Oversubscribed,73.0,77.0,61.0,529.4118,359.2593,1000.0,421.8274,1150.0,221.0341,265.9224,-32.1429,40.6
Trust Fintech,60.4,143.8,143.3,150.4,SME,2024-04-04,63.5,101.0,34.7,325.1,99.7,101.0,41.8,-40.3,1200,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,114000,Oversubscribed,95.0,101.0,63.0,-83.3333,90.3226,88.8889,94.5474,81.8182,-6.707,31.9899,0.0,-40.3
United Cotfab,29.5,50.7,75.0,78.8,SME,2024-06-24,36.3,70.0,38.9,130.3,73.3,101.8,7.1,-57.9,2000,TEXTILES APPARELS & ACCESSORIES,TEXTILES,140000,Oversubscribed,70.0,70.0,52.0,-1250.0,0.2,0.1,0.0,0.1,580.0,102.8,-99.1944,-57.9
V R Infraspace,220.0,195.4,90.0,87.4,SME,2024-03-12,20.4,85.0,38.9,81.3,91.2,86.3,5.9,158.8,1600,REALTY,REALTY,136000,Oversubscribed,85.0,85.0,24.0,-236.5854,3.125,275.0,164.2998,271.4286,-6.0496,161.4734,-57.8947,158.8
Varyaa Creations,43.8,21.0,285.0,270.8,SME,2024-04-30,20.1,150.0,38.9,1.1,5.8,3.5,90.0,-70.8,1000,COMMERCIAL SERVICES & SUPPLIES,COMMODITY TRADING & DISTRIBUTION,150000,Oversubscribed,150.0,150.0,13.0,3700.0,57.1429,666.6667,110.4527,900.0,5605.4054,144.5818,37.8378,-70.8
Veritaas Advertising,86.6,24.4,275.0,261.3,SME,2024-05-21,8.5,114.0,64.1,781.3,1227.8,581.4,141.2,-24.0,1200,MEDIA,ADVERTISING & MEDIA,130800,Oversubscribed,109.0,114.0,0.00744,200.0,266.6667,128.5714,-33.8012,100.0,-42.3892,-37.5812,-6.25,-24.0
Vibhor Steel Tubes,166.5,315.8,425.0,446.3,MainBoard,2024-02-20,72.2,151.0,178.7,721.3,188.2,298.9,181.5,10.3,99,METALS & MINING,IRON & STEEL PRODUCTS,13959,Oversubscribed,141.0,151.0,48.0,-84.5815,135.1759,2675.0,1353.8462,2914.2857,96.4494,1900.0,33.3333,10.3
Vilas Transcore,533.0,1304.8,215.0,225.8,SME,2024-06-03,95.3,147.0,60.9,599.4,214.0,195.3,46.3,262.6,1000,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,139000,Oversubscribed,139.0,147.0,65.0,-33.3333,188.9908,290.4762,80.9645,288.4615,165.685,163.622,-100.0,262.6
Vishwas Agri Seeds,60.5,60.5,85.0,83.6,SME,2024-04-01,25.8,86.0,38.9,12.2,11.0,11.6,-1.2,-29.6,1600,FOOD BEVERAGES & TOBACCO,OTHER AGRICULTURAL PRODUCTS,137600,Oversubscribed,86.0,86.0,30.0,2950.0,247.8261,341.6667,278.2407,341.6667,-12.3711,-35.6415,-79.6875,-29.6
Vruddhi Engineering,213.0,53.8,71.0,74.5,SME,2024-04-03,4.8,70.0,1.1,28.1,20.1,12.7,1.4,204.3,2000,METALS & MINING,IRON & STEEL PRODUCTS,132000,Oversubscribed,66.0,70.0,0.0068,-2.3,1300.0,650.0,102.88,700.0,213.7766,108.2255,-85.9459,204.3
Winny Immigration,100.0,21.7,240.0,252.0,SME,2024-06-27,9.1,140.0,38.9,95.5,180.7,142.4,71.4,-28.5,1000,DIVERSIFIED CONSUMER SERVICES,TRAVEL SUPPORT SERVICES,140000,Oversubscribed,140.0,140.0,0.00652,-91.6667,25.0,13.5593,-3.7588,15.3846,-71.3965,-72.315,-55.5556,-28.5
Winsol Engineers,215.7,248.8,365.0,383.3,SME,2024-05-14,23.4,75.0,110.2,1447.0,1038.7,635.7,386.7,187.6,1600,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,113600,Oversubscribed,71.0,75.0,31.0,81.25,393.75,1025.0,254.2601,940.0,207.0813,183.8803,-61.7647,187.6
Wise Travel,187.9,447.5,195.0,204.8,SME,2024-02-19,94.7,147.0,54.6,481.4,139.1,148.2,32.6,27.9,1000,TRANSPORTATION,TRANSPORT RELATED SERVICES,140000,Oversubscribed,140.0,147.0,64.0,-169.8276,293.75,514.2857,1.2255,505.8824,135.3555,261.0795,133.3333,27.9
Yash Optics & Lens,93.8,232.4,90.0,92.7,SME,2024-04-08,53.1,81.0,9.5,130.4,43.0,39.4,11.1,15.9,1600,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,120000,Oversubscribed,75.0,81.0,66.0,-2200.0,500.0,725.0,186.1972,636.3636,101.1405,69.3018,-57.1429,15.9
Z-Tech,575.0,824.0,100.0,105.0,SME,2024-06-05,37.3,110.0,65.4,1106.5,419.2,345.4,-9.1,422.7,1200,CEMENT AND CONSTRUCTION,CONSTRUCTION & ENGINEERING,124800,Oversubscribed,104.0,110.0,34.0,112.5,166.6667,180.0,156.4189,185.7143,125.4918,141.8919,0.0,422.7
Zenith Drugs,69.2,118.6,110.0,105.2,SME,2024-02-27,40.7,79.0,35.6,309.0,116.2,104.8,39.2,-12.5,1600,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,120000,Oversubscribed,75.0,79.0,51.0,-650.0,53.5211,66.6667,8.9806,73.3333,2.2098,-11.676,-11.7647,-12.5
delaPlex,146.0,133.0,309.0,324.4,SME,2024-02-02,46.1,192.0,48.2,445.6,212.2,165.2,60.9,-24.0,600,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,111600,Oversubscribed,186.0,192.0,24.0,133.3333,91.3793,97.7273,31.3004,97.5,-12.7682,-21.1069,-18.1818,-24.0
