,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
42,Mega Flex Plastics,64.7,71.8,19 Sep `22,11.4 Cr,₹ 40,-,52.8x,39.0x,45.9x,54.0,56.7,35.0%,61.6%,SME
43,Shantidoot Infra Serv,275.2,49.5,19 Sep `22,4.0 Cr,₹ 81,-,2.4x,3.3x,2.9x,105.0,110.3,29.6%,239.8%,SME
44,Viviana Power Tech,1175.0,737.5,16 Sep `22,8.8 Cr,₹ 55,-,97.5x,72.8x,85.1x,90.0,94.5,63.6%,2036.4%,SME
45,Virtuoso Optoelectronics,457.5,1349.1,15 Sep `22,30.2 Cr,₹ 56,-,112.9x,80.8x,96.8x,117.0,115.4,108.9%,717.0%,SME
46,EP Biocomposites,121.5,20.4,13 Sep `22,6.3 Cr,₹ 126,-,21.6x,15.4x,18.5x,160.3,168.3,27.2%,-3.6%,SME
47,JFL Life Sciences,15.5,51.1,08 Sep `22,18.2 Cr,₹ 61,-,6.2x,11.7x,8.9x,70.0,66.5,14.8%,-74.6%,SME
48,Jay Jalaram Tech,134.1,159.2,08 Sep `22,10.8 Cr,₹ 36,-,18.6x,11.4x,15.0x,50.0,52.5,38.9%,272.5%,SME
49,Dipna Pharmachem,24.0,57.7,08 Sep `22,15.2 Cr,₹ 38,-,0.8x,4.8x,2.8x,32.0,33.4,-15.8%,-36.9%,SME
50,Ameya Precision Engineers,120.6,90.5,08 Sep `22,7.1 Cr,₹ 34,-,259.2x,243.5x,251.3x,68.4,65.4,101.2%,254.7%,SME
51,Rhetan TMT,17.0,1355.5,05 Sep `22,56.0 Cr,₹ 70,-,2.2x,0.8x,1.5x,70.0,66.5,0.0%,809.6%,SME
52,Naturo bull,3.1,5.8,02 Sep `22,10.9 Cr,₹ 30,-,8.4x,32.1x,20.3x,25.0,26.3,-16.7%,-89.8%,SME
53,Olatech Solutions,212.5,94.6,29 Aug `22,1.9 Cr,₹ 27,-,517.7x,679.9x,598.8x,51.3,53.9,90.0%,1356.5%,SME
54,Veekayem Fashion ,251.4,147.7,22 Aug `22,4.4 Cr,₹ 28,-,355.9x,247.1x,301.5x,49.9,50.0,78.2%,797.9%,SME
55,Upsurge Seeds,161.9,114.3,11 Aug `22,22.8 Cr,₹ 120,-,101.7x,59.3x,80.5x,140.0,147.0,16.7%,34.9%,SME
56,Agni Green Power,24.8,48.4,01 Aug `22,5.3 Cr,₹ 10,-,107.4x,39.9x,73.7x,25.0,26.3,150.0%,148.0%,SME
57,Healthy Life Agritec,62.7,155.5,26 Jul `22,10.0 Cr,₹ 10,-,5.2x,11.2x,8.2x,8.9,9.3,-11.0%,526.9%,SME
58,SKP Bearing ,209.5,347.8,13 Jul `22,30.8 Cr,₹ 70,-,10.2x,9.9x,10.1x,73.0,72.5,4.3%,199.3%,SME
59,Jayant Infratech,75.8,76.9,13 Jul `22,6.2 Cr,₹ 67,-,4.2x,3.8x,4.0x,76.0,79.8,13.4%,239.2%,SME
60,B-Right Realestate,335.0,346.1,13 Jul `22,44.4 Cr,₹ 153,-,1.8x,0.6x,1.2x,155.0,147.3,1.3%,119.0%,SME
61,Mangalam Drugs ,89.8,142.1,12 Jul `22,65.6 Cr,₹ 101,-,2.2x,0.5x,1.3x,150.0,151.7,48.5%,-11.1%,SME
62,Kesar,700.0,1729.8,12 Jul `22,15.8 Cr,₹ 170,-,2.6x,0.9x,1.8x,172.5,174.0,1.5%,2781.6%,SME
63,KCK Industries,40.8,259.5,08 Jul `22,4.5 Cr,₹ 30,-,3.0x,8.8x,5.9x,25.0,26.3,-16.7%,580.0%,SME
64,Sailani Travels,14.4,6.8,08 Jul `22,1.9 Cr,₹ 15,-,1.9x,4.6x,3.2x,15.5,16.3,3.3%,-4.3%,SME
65,Pearl Green Clubs,138.0,36.9,07 Jul `22,11.7 Cr,₹ 186,-,1.8x,1.4x,1.6x,189.1,198.5,1.6%,-25.8%,SME
66,Modis Navnirman,278.0,544.6,06 Jul `22,22.7 Cr,₹ 180,-,2.8x,1.2x,2.0x,189.0,188.9,5.0%,517.8%,SME
67,Goel Food Products,17.6,33.2,28 Jun `22,7.2 Cr,₹ 72,-,1.2x,2.1x,1.6x,75.0,78.8,4.2%,22.2%,SME
68,Scarnose Intl,86.2,27.1,27 Jun `22,6.6 Cr,₹ 55,-,2.1x,2.3x,2.2x,55.5,56.0,0.9%,56.7%,SME
69,Silver Pearl Hospitality,8.8,6.9,17 Jun `22,9.0 Cr,₹ 18,-,0.8x,2.6x,1.7x,16.0,15.2,-11.1%,-50.9%,SME
70,Rachana Infra,38.1,71.0,13 Jun `22,76.3 Cr,₹ 135,-,1.8x,0.6x,1.2x,138.7,139.1,2.7%,-71.7%,SME
71,Fidel Softech,185.3,254.7,10 Jun `22,13.5 Cr,₹ 37,-,138.3x,67.4x,102.9x,59.1,62.0,59.7%,400.7%,SME
72,Globesecure Tech,13.3,21.3,02 Jun `22,10.1 Cr,₹ 29,-,23.7x,4.6x,14.2x,36.5,37.1,25.9%,-54.0%,SME
73,Sonu Infratech,125.0,129.4,17 May `22,8.6 Cr,₹ 36,-,13.4x,19.6x,16.5x,36.0,37.6,0.0%,247.2%,SME
74,Fone4 Communications,8.0,19.9,06 May `22,6.8 Cr,₹ 10,-,7.4x,22.1x,14.8x,10.0,9.5,0.0%,-20.1%,SME
75,Nanavati Ventures,119.2,55.7,06 May `22,2.2 Cr,₹ 50.02,-,13.9x,51.2x,32.5x,50.0,50.3,-0.0%,138.3%,SME
76,Jeena Sikho Lifecare,530.6,6595.4,19 Apr `22,55.5 Cr,₹ 150,-,2.8x,1.7x,2.3x,165.1,173.3,10.1%,3083.0%,SME
77,Eighty Jewellers,35.0,35.7,13 Apr `22,11.1 Cr,₹ 41,-,2.9x,2.0x,2.5x,42.0,44.1,2.4%,-14.6%,SME
78,Sunrise Efficient ,212.8,319.1,12 Apr `22,16.7 Cr,₹ 121,-,1.8x,1.1x,1.5x,121.3,124.8,0.2%,427.5%,SME
79,Dhyaani Tradeventures,12.8,21.8,12 Apr `22,2.5 Cr,₹ 51,-,2.0x,2.4x,2.2x,52.3,54.8,2.5%,-29.7%,SME
80,Krishna Defence & Allied,813.3,1143.4,06 Apr `22,11.9 Cr,₹ 39,8.8x,159.9x,132.3x,74.8x,75.0,78.8,92.3%,1985.4%,SME
81,P E Analytics,209.2,219.2,04 Apr `22,31.6 Cr,₹ 114,13.2x,126.4x,59.2x,46.3x,170.0,168.5,49.1%,83.5%,SME
82,Krishival Foods,395.0,880.7,31 Mar `22,19.4 Cr,₹ 37,-,2.9x,1.6x,2.3x,42.0,44.1,13.5%,967.6%,SME
83,Evoq Remedies,4.0,10.1,30 Mar `22,9.7 Cr,₹ 27,-,0.3x,3.0x,1.7x,25.0,23.8,-7.4%,-85.0%,SME
84,Achyut Healthcare,4.6,109.1,30 Mar `22,3.6 Cr,₹ 20,-,1.9x,6.8x,4.3x,20.1,21.1,0.8%,387.4%,SME
85,KN Agri Resources,245.0,612.5,28 Mar `22,49.4 Cr,₹ 75,10.7x,771.6x,87.5x,151.9x,153.7,146.0,104.9%,226.7%,SME
86,Swaraj Suiting,199.5,439.3,28 Mar `22,10.7 Cr,₹ 56,-,13.8x,10.5x,12.1x,56.0,53.2,0.0%,612.5%,SME
87,Cool Caps Industries,79.0,913.2,24 Mar `22,11.6 Cr,₹ 38,-,4.6x,11.3x,7.9x,35.9,37.6,-5.5%,1979.0%,SME
88,Bhatia Colour Chem,299.0,422.8,24 Mar `22,40.0 Cr,₹ 80,-,2.7x,0.2x,1.4x,40.0,42.0,-50.0%,273.8%,SME
89,SP Refractories,147.0,26.3,22 Mar `22,4.9 Cr,₹ 90,-,5.6x,8.8x,7.2x,90.2,90.1,0.2%,63.3%,SME
90,Shigan Quantum Tech,87.0,165.8,11 Mar `22,22.7 Cr,₹ 50,-,27.7x,8.2x,17.9x,61.0,64.0,22.0%,74.0%,SME
91,Ekennis Software,54.3,7.6,07 Mar `22,2.9 Cr,₹ 72,-,37.0x,19.0x,28.0x,80.0,84.0,11.1%,-24.6%,SME
92,Vaidya Sane Ayurved,195.5,205.5,23 Feb `22,20.2 Cr,₹ 73,-,2.7x,3.0x,2.8x,102.0,105.4,39.7%,167.8%,SME
93,Richa Info Systems,79.7,82.3,21 Feb `22,10.0 Cr,₹ 125,-,3.2x,6.9x,5.0x,125.0,118.8,0.0%,-36.2%,SME
94,Maruti Interior Products,101.3,152.9,16 Feb `22,11.0 Cr,₹ 55,-,107.0x,39.8x,73.4x,68.5,71.9,24.6%,268.2%,SME
95,Safa Systems & Tech,39.8,99.4,09 Feb `22,4.0 Cr,₹ 10,-,64.6x,40.8x,52.7x,16.6,15.7,65.5%,298.1%,SME
96,Quality RO Industries,131.5,33.5,09 Feb `22,2.7 Cr,₹ 51,-,4.5x,10.1x,7.3x,52.3,53.7,2.5%,157.8%,SME
97,Alkosign,78.0,84.2,01 Feb `22,12.2 Cr,₹ 45,-,3.1x,6.4x,4.8x,45.3,45.3,0.6%,160.0%,SME
98,Precision Metaliks,27.4,62.8,01 Feb `22,21.9 Cr,₹ 51,-,2.8x,11.9x,7.4x,75.0,71.3,47.1%,-46.4%,SME
99,Fabino Enterprises,26.0,5.5,13 Jan `22,3.2 Cr,₹ 36,-,3.5x,10.4x,6.9x,39.5,40.4,9.7%,-27.8%,SME
100,Timescan Logistics,59.9,41.8,12 Jan `22,4.8 Cr,₹ 51,-,141.4x,90.3x,115.9x,82.0,86.1,60.8%,134.7%,SME
101,Ascensive Educare,17.8,72.7,12 Jan `22,2.3 Cr,₹ 26,-,1.2x,4.1x,2.7x,31.6,28.9,21.4%,584.6%,SME
102,AB Cotspin,409.0,671.5,11 Jan `22,10.1 Cr,₹ 35,-,9.4x,17.5x,13.5x,38.5,40.4,10.0%,1068.6%,SME
0,Trident Techlabs,465.0,803.6,29 Dec `23,16.0 Cr,₹ 35,41.4x,825.8x,1023.1x,502.6x,98.2,103.0,180.4%,1228.6%,SME
1,Indifra,17.5,12.8,29 Dec `23,14.0 Cr,₹ 65,-,2.3x,11.5x,6.9x,72.0,68.4,10.8%,-73.1%,SME
2,Supreme Power Equipment,206.1,515.1,29 Dec `23,46.7 Cr,₹ 65,-,159.3x,161.2x,160.3x,98.0,102.9,50.8%,217.1%,SME
3,Electro Force,46.6,109.0,27 Dec `23,80.7 Cr,₹ 93,-,2.1x,6.1x,4.1x,100.0,105.0,7.5%,-49.9%,SME
4,Shanti Spintex,64.7,109.2,27 Dec `23,31.3 Cr,₹ 70,14.3x,42.6x,22.0x,25.5x,76.0,79.8,8.6%,-7.6%,SME
5,Sahara Maritime,40.0,12.3,26 Dec `23,6.9 Cr,₹ 81,-,8.6x,34.5x,21.6x,81.0,81.2,0.0%,-50.6%,SME
6,Shree OSFM E-Mobility,112.5,173.3,21 Dec `23,24.6 Cr,₹ 65,-,6.6x,8.8x,7.7x,65.0,68.3,0.0%,73.1%,SME
7,Benchmark Computer ,27.4,18.8,21 Dec `23,12.2 Cr,₹ 66,-,179.9x,279.5x,229.7x,80.0,77.1,21.2%,-58.4%,SME
8,Siyaram Recycling ,137.8,300.4,21 Dec `23,23.0 Cr,₹ 46,96.4x,441.6x,459.1x,358.1x,55.0,57.8,19.6%,199.7%,SME
9,S J Logistics,411.9,630.0,19 Dec `23,48.0 Cr,₹ 125,61.7x,651.2x,473.1x,294.1x,175.0,183.8,40.0%,229.6%,SME
10,Presstonic Engg,92.8,71.5,18 Dec `23,23.3 Cr,₹ 72,-,127.0x,179.3x,153.2x,140.0,147.0,94.4%,28.9%,SME
11,Accent Microcell,275.0,659.7,15 Dec `23,78.4 Cr,₹ 140,63.0x,766.7x,544.7x,337.1x,300.0,315.0,114.3%,96.4%,SME
12,Graphisads,40.0,73.2,13 Dec `23,53.4 Cr,₹ 111,-,2.0x,5.3x,3.6x,111.5,106.0,0.5%,-63.9%,SME
13,Sheetal Universal,130.9,150.0,11 Dec `23,23.8 Cr,₹ 70,-,201.9x,123.2x,162.5x,75.0,75.4,7.1%,87.0%,SME
14,Net Avenue Tech,4.9,10.5,08 Dec `23,10.3 Cr,₹ 18,32.8x,822.1x,958.5x,475.2x,42.0,39.9,133.3%,-72.8%,SME
15,Marinetrans,16.1,20.5,08 Dec `23,10.9 Cr,₹ 26,-,17.2x,44.8x,31.0x,30.0,31.0,15.4%,-38.1%,SME
16,Deepak Chemtex,135.5,147.2,06 Dec `23,23.0 Cr,₹ 80,96.8x,473.2x,475.4x,374.3x,152.0,159.6,90.0%,69.4%,SME
17,AMIC Forging,1533.0,1607.9,06 Dec `23,34.8 Cr,₹ 126,91.4x,435.9x,273.0x,268.8x,239.4,251.3,90.0%,1116.7%,SME
18,Swashthik Plascon,40.2,78.2,05 Dec `23,40.8 Cr,₹ 86,3.4x,26.7x,13.6x,14.4x,120.1,126.1,39.6%,-53.3%,SME
19,Rockingdeals Circular,175.1,99.1,30 Nov `23,21.0 Cr,₹ 140,17.7x,438.7x,195.2x,143.0x,300.0,315.0,114.3%,25.0%,SME
20,Arrowhead Seperation,80.0,15.0,28 Nov `23,13.0 Cr,₹ 233,-,44.9x,134.6x,89.8x,250.0,237.5,7.3%,-65.7%,SME
21,Sunrest Lifescience,53.0,22.7,20 Nov `23,10.8 Cr,₹ 84,-,27.8x,62.4x,45.1x,84.0,79.8,0.0%,-36.9%,SME
22,Kalyani Cast-Tech,505.0,362.6,17 Nov `23,30.1 Cr,₹ 139,66.3x,188.6x,190.9x,162.4x,264.1,277.3,90.0%,263.3%,SME
23,ROX Hi-Tech,43.3,98.8,16 Nov `23,54.5 Cr,₹ 83,44.8x,440.4x,256.3x,178.2x,135.0,141.8,62.6%,-47.9%,SME
24,Baba Food Processing,39.0,63.7,15 Nov `23,33.0 Cr,₹ 76,135.9x,34.0x,137.4x,66.0x,76.0,72.2,0.0%,-48.7%,SME
25,Micropro Software ,22.3,31.8,10 Nov `23,30.7 Cr,₹ 81,-,21.6x,46.6x,34.1x,80.0,76.0,-1.2%,-72.5%,SME
26,Maitreya Medicare,265.0,179.6,07 Nov `23,14.9 Cr,₹ 82,42.6x,1021.4x,673.1x,410.1x,162.6,154.4,98.2%,223.2%,SME
27,Mish Designs,67.5,20.8,07 Nov `23,9.8 Cr,₹ 122,-,94.2x,150.5x,122.3x,160.0,152.0,31.1%,-44.6%,SME
28,KK Shah Hospitals,39.0,26.6,06 Nov `23,8.8 Cr,₹ 45,-,16.9x,8.9x,12.9x,56.1,58.9,24.7%,-13.2%,SME
29,Transteel Seating,144.0,312.6,06 Nov `23,50.0 Cr,₹ 70,4.6x,111.5x,35.9x,31.6x,88.9,93.3,27.0%,105.7%,SME
30,Vrundavan Plantation,50.0,26.7,06 Nov `23,15.3 Cr,₹ 108,-,11.1x,24.2x,17.7x,107.0,101.7,-0.9%,-53.7%,SME
31,Paragon Fine & Speciality,54.0,105.7,03 Nov `23,51.7 Cr,₹ 100,43.2x,557.0x,245.9x,191.3x,225.0,213.8,125.0%,-46.0%,SME
32,Shanthala FMCG ,31.8,21.3,03 Nov `23,16.1 Cr,₹ 91,-,4.6x,2.9x,3.8x,108.0,103.5,18.7%,-65.0%,SME
33,On Door Concepts,186.9,105.6,01 Nov `23,31.2 Cr,₹ 208,-,3.1x,7.4x,5.3x,214.0,203.4,2.9%,-10.1%,SME
34,Rajgor Castor Derivatives,21.5,51.4,31 Oct `23,47.8 Cr,₹ 50,17.9x,345.2x,105.8x,97.7x,59.0,61.1,18.0%,-57.0%,SME
35,Womancart,218.1,131.8,27 Oct `23,9.6 Cr,₹ 86,-,53.6x,68.3x,60.9x,117.0,122.8,36.0%,153.6%,SME
36,Arvind and Company ,55.3,98.3,25 Oct `23,14.7 Cr,₹ 45,-,413.8x,305.5x,359.6x,80.0,80.0,77.8%,22.8%,SME
37,Committed Cargo Care,230.0,263.6,18 Oct `23,24.9 Cr,₹ 77,-,89.5x,74.7x,82.1x,82.0,86.1,6.5%,198.7%,SME
38,Plada Infotech ,18.9,16.2,13 Oct `23,12.4 Cr,₹ 48,-,37.9x,70.1x,54.0x,59.0,56.0,22.9%,-60.6%,SME
39,Vivaa Tradecom,49.0,19.3,12 Oct `23,8.0 Cr,₹ 51,-,0.8x,2.7x,1.8x,40.8,42.5,-20.0%,-3.9%,SME
40,Sharp Chucks & Machines,77.5,89.2,12 Oct `23,16.8 Cr,₹ 58,-,36.9x,60.5x,48.7x,66.0,65.0,13.8%,33.6%,SME
41,Karnika Industries,693.0,859.3,12 Oct `23,25.1 Cr,₹ 76,-,3.2x,2.8x,3.0x,81.0,82.6,6.6%,811.9%,SME
42,Sunita Tools,785.0,479.6,11 Oct `23,22.0 Cr,₹ 145,-,5.2x,20.0x,12.6x,155.0,147.3,6.9%,441.4%,SME
43,Goyal Salt,164.0,293.6,11 Oct `23,18.6 Cr,₹ 38,33.1x,518.9x,493.4x,267.1x,130.0,136.1,242.1%,331.6%,SME
44,Oneclick Logistics,211.0,118.0,11 Oct `23,9.9 Cr,₹ 99,-,132.2x,212.4x,172.3x,140.0,133.0,41.4%,113.1%,SME
45,Canarys Automations,30.4,173.6,11 Oct `23,47.0 Cr,₹ 31,1.3x,22.3x,14.1x,8.9x,43.5,41.3,40.2%,-2.1%,SME
46,City Crops Agro,18.8,30.6,10 Oct `23,15.0 Cr,₹ 25,-,2.1x,4.5x,3.3x,25.5,25.4,2.0%,-25.0%,SME
47,Kontor Space,80.3,49.6,10 Oct `23,15.6 Cr,₹ 93,-,39.8x,90.6x,65.2x,122.0,115.9,31.2%,-13.7%,SME
48,Vishnusurya Projects,172.5,424.5,10 Oct `23,50.0 Cr,₹ 68,-,34.6x,41.4x,38.0x,73.0,76.7,7.3%,153.7%,SME
49,Arabian Petroleum,86.0,93.7,09 Oct `23,20.2 Cr,₹ 70,-,15.0x,22.0x,18.5x,77.4,76.3,10.6%,22.9%,SME
50,E Factor Experiences,235.8,308.6,09 Oct `23,25.9 Cr,₹ 75,24.5x,224.1x,63.4x,68.0x,115.0,120.8,53.3%,214.4%,SME
51,Organic Recycling,289.9,223.2,06 Oct `23,50.0 Cr,₹ 200,-,4.2x,2.1x,3.1x,215.0,225.8,7.5%,45.0%,SME
52,Vinyas Innovative,1396.2,1757.1,06 Oct `23,54.7 Cr,₹ 165,22.7x,126.8x,28.3x,40.3x,330.0,346.5,100.0%,746.2%,SME
53,Inspire Films,21.7,29.5,05 Oct `23,21.2 Cr,₹ 59,13.4x,196.2x,239.7x,120.0x,67.0,67.8,13.6%,-63.2%,SME
54,Newjaisa Tech,33.8,119.5,05 Oct `23,39.9 Cr,₹ 47,0.5x,20.9x,8.7x,6.4x,71.0,70.8,51.1%,-28.1%,SME
55,Mangalam Alloys,75.9,187.4,04 Oct `23,54.9 Cr,₹ 80,-,2.4x,8.3x,5.3x,80.0,76.0,0.0%,-5.1%,SME
56,Digikore Studios,179.1,113.4,04 Oct `23,30.5 Cr,₹ 171,32.4x,448.2x,456.3x,243.1x,270.0,283.5,57.9%,4.7%,SME
57,Saakshi Medtech,187.0,330.2,03 Oct `23,45.2 Cr,₹ 97,19.8x,267.1x,100.8x,85.3x,146.0,153.3,50.5%,92.8%,SME
58,Master Components,394.8,157.9,29 Sep `23,15.4 Cr,₹ 140,-,5.7x,9.6x,7.6x,140.4,140.2,0.3%,182.0%,SME
59,Cellecor Gadgets,34.5,722.3,28 Sep `23,50.8 Cr,₹ 92,-,101.2x,115.4x,108.3x,92.0,96.6,0.0%,274.5%,SME
60,Hi-Green Carbon,232.0,579.8,28 Sep `23,52.8 Cr,₹ 75,36.6x,310.7x,257.1x,154.9x,77.0,80.8,2.7%,209.3%,SME
61,Marco Cables & Conductors,40.6,75.9,28 Sep `23,18.7 Cr,₹ 36,-,23.1x,33.3x,28.2x,38.7,40.6,7.5%,12.8%,SME
62,Kody Technolab,742.0,945.9,27 Sep `23,27.5 Cr,₹ 160,-,39.2x,50.9x,45.0x,170.0,178.5,6.3%,827.5%,SME
63,Techknowgreen ,189.0,139.5,27 Sep `23,16.7 Cr,₹ 86,-,9.7x,15.0x,12.4x,87.0,91.3,1.2%,119.8%,SME
64,Kundan Edifice,111.0,114.0,26 Sep `23,25.2 Cr,₹ 91,-,34.0x,41.9x,37.9x,75.0,78.8,-17.6%,22.0%,SME
65,Madhusudan Masala,147.5,213.4,26 Sep `23,23.8 Cr,₹ 70,46.1x,764.7x,786.2x,412.9x,120.0,114.0,71.4%,110.7%,SME
66,Chavda Infra,121.3,299.1,25 Sep `23,43.3 Cr,₹ 65,50.5x,321.7x,268.3x,167.4x,91.0,86.5,40.0%,86.6%,SME
67,Holmarc Opto-Mechatronics,129.9,130.6,25 Sep `23,11.4 Cr,₹ 40,-,88.7x,72.0x,80.3x,65.3,68.5,63.1%,224.9%,SME
68,Unihealth Consultancy,167.0,257.2,21 Sep `23,56.5 Cr,₹ 132,7.9x,50.4x,32.7x,23.0x,135.0,133.0,2.3%,26.5%,SME
69,Meson Valves,409.1,415.6,21 Sep `23,31.1 Cr,₹ 102,-,137.0x,192.6x,164.8x,193.8,203.4,90.0%,301.1%,SME
70,Jiwanram Sheoduttrai,8.8,21.8,18 Sep `23,17.1 Cr,₹ 23,-,66.3x,144.0x,105.2x,30.0,28.5,30.4%,-61.7%,SME
71,Kahan Packaging,62.0,16.9,15 Sep `23,5.8 Cr,₹ 80,-,393.1x,986.8x,689.9x,152.0,159.6,90.0%,-22.5%,SME
72,Saroja Pharma,36.0,14.5,13 Sep `23,9.1 Cr,₹ 84,-,2.9x,14.1x,8.5x,65.0,68.3,-22.6%,-57.1%,SME
73,Pramara Promotions,204.0,236.1,13 Sep `23,15.3 Cr,₹ 63,-,32.4x,16.3x,24.3x,111.0,116.5,76.2%,223.8%,SME
74,Basilic Fly Studio,422.0,980.7,11 Sep `23,66.3 Cr,₹ 97,53.1x,628.4x,473.8x,286.6x,271.0,284.6,179.4%,335.1%,SME
75,Mono Pharmacare,25.2,44.5,07 Sep `23,14.8 Cr,₹ 28,10.3x,7.7x,18.4x,12.8x,29.0,30.4,3.6%,-10.0%,SME
76,CPS Shapers,732.5,162.0,07 Sep `23,11.1 Cr,₹ 185,-,188.0x,285.4x,236.7x,450.0,472.5,143.2%,295.9%,SME
77,Sahaj Fashions,8.4,11.1,06 Sep `23,14.0 Cr,₹ 30,-,3.7x,11.1x,7.4x,31.0,30.4,3.3%,-72.0%,SME
78,Sungarner Energies,250.0,58.0,31 Aug `23,5.3 Cr,₹ 83,-,100.8x,175.5x,138.2x,250.0,262.4,201.2%,201.2%,SME
79,Bondada Engineering,436.4,4869.9,30 Aug `23,42.7 Cr,₹ 75,8.6x,365.7x,135.5x,106.6x,142.5,149.6,90.0%,2809.3%,SME
80,Crop Life Science,54.5,93.5,30 Aug `23,26.7 Cr,₹ 52,-,1.6x,6.8x,4.2x,56.0,53.1,7.6%,4.9%,SME
81,Shoora Designs,64.0,9.6,29 Aug `23,2.0 Cr,₹ 48,-,33.2x,87.7x,60.4x,91.2,95.8,90.0%,33.3%,SME
82,Shelter Pharma,44.0,50.9,23 Aug `23,16.0 Cr,₹ 42,-,6.4x,21.2x,13.8x,40.0,42.0,-4.8%,4.8%,SME
83,Srivari Spices & Foods,175.1,150.0,18 Aug `23,9.0 Cr,₹ 42,42.0x,1044.5x,687.9x,418.4x,101.5,106.5,141.7%,316.8%,SME
84,Yudiz Solutions,36.5,37.7,17 Aug `23,44.8 Cr,₹ 165,1.5x,6.8x,8.5x,4.8x,185.0,181.4,12.1%,-77.9%,SME
85,Sangani Hospitals,65.0,89.6,17 Aug `23,15.2 Cr,₹ 40,10.8x,1.4x,5.9x,4.4x,44.0,41.9,10.0%,62.5%,SME
86,Oriana Power,2259.9,4591.9,11 Aug `23,59.7 Cr,₹ 118,27.4x,239.3x,193.7x,117.4x,302.0,317.1,155.9%,1815.2%,SME
87,Vinsys IT Services,350.0,513.7,11 Aug `23,49.8 Cr,₹ 128,14.0x,101.0x,106.0x,59.3x,207.3,217.6,61.9%,173.4%,SME
88,Zeal Global Services,126.6,168.5,09 Aug `23,36.5 Cr,₹ 103,-,4.2x,3.6x,3.9x,147.0,154.3,42.7%,22.9%,SME
89,Khazanchi Jewellers,600.0,1484.8,07 Aug `23,96.7 Cr,₹ 140,-,1.8x,0.7x,1.3x,142.3,149.4,1.6%,328.6%,SME
90,Shri Techtex,90.0,224.6,04 Aug `23,45.1 Cr,₹ 61,30.9x,333.4x,207.5x,138.1x,81.2,85.2,33.0%,47.5%,SME
91,Innovatus Entertainment,14.2,5.6,04 Aug `23,7.7 Cr,₹ 50,-,57.0x,142.9x,100.0x,50.0,49.0,0.0%,-71.7%,SME
92,Yasons Chemex Care,12.1,23.4,03 Aug `23,20.6 Cr,₹ 40,-,45.3x,65.2x,55.2x,32.0,33.6,-20.0%,-69.8%,SME
93,Service Care,56.3,64.7,26 Jul `23,20.7 Cr,₹ 67,1.0x,7.9x,12.9x,6.2x,70.9,67.5,5.8%,-16.0%,SME
94,Asarfi Hospital,134.3,264.4,26 Jul `23,26.9 Cr,₹ 52,50.6x,334.2x,167.8x,181.5x,98.8,103.7,90.0%,158.4%,SME
95,Drone Destination,100.5,245.1,21 Jul `23,44.2 Cr,₹ 65,18.7x,226.4x,231.7x,124.4x,107.5,102.1,65.3%,54.5%,SME
96,Ahasolar Tech,112.7,34.7,21 Jul `23,12.8 Cr,₹ 157,-,22.3x,43.8x,33.0x,203.0,213.2,29.3%,-28.2%,SME
97,AccelerateBS,94.2,32.4,19 Jul `23,5.7 Cr,₹ 90,-,37.3x,56.0x,46.6x,109.5,115.0,21.7%,67.5%,SME
98,Kaka Industries,222.0,303.3,19 Jul `23,21.2 Cr,₹ 58,72.1x,316.0x,358.9x,271.3x,110.2,115.7,90.0%,282.8%,SME
99,Alphalogic ,122.1,124.4,14 Jul `23,12.9 Cr,₹ 96,-,-,5.1x,4.6x,96.0,96.3,0.0%,154.4%,SME
100,Tridhya Tech,17.8,41.3,13 Jul `23,26.4 Cr,₹ 42,10.0x,224.3x,83.2x,67.8x,42.0,44.1,0.0%,-57.7%,SME
101,Synoptics Tech,106.0,89.8,13 Jul `23,54.0 Cr,₹ 237,-,2.6x,2.4x,2.5x,238.0,226.1,0.4%,-55.3%,SME
102,Global Pet ,140.0,165.0,11 Jul `23,13.2 Cr,₹ 49,-,4.3x,3.9x,4.1x,51.7,55.4,5.5%,185.7%,SME
103,Pentagon Rubber,63.4,48.9,10 Jul `23,16.2 Cr,₹ 70,14.6x,204.4x,173.8x,98.8x,117.3,117.3,67.6%,-9.4%,SME
104,Essen Speciality ,411.0,1020.9,06 Jul `23,66.3 Cr,₹ 107,24.0x,149.7x,90.4x,66.1x,140.0,147.0,30.8%,360.9%,SME
105,Greenchef Appliances,61.4,142.9,06 Jul `23,53.6 Cr,₹ 87,22.7x,127.9x,83.1x,59.6x,104.0,109.2,19.5%,-29.4%,SME
106,Magson Retail ,130.0,127.1,06 Jul `23,13.7 Cr,₹ 65,-,5.9x,7.0x,6.5x,91.2,95.7,40.2%,100.0%,SME
107,Veefin Solutions,385.0,923.0,05 Jul `23,46.7 Cr,₹ 82,-,3.2x,1.6x,2.4x,86.0,90.2,4.9%,369.5%,SME
108,Cosmic CRF,1585.0,1456.3,30 Jun `23,60.1 Cr,₹ 330,3.6x,2.8x,0.6x,1.1x,251.2,238.7,-23.9%,380.3%,SME
109,Vilin Bio Med,25.1,34.9,30 Jun `23,12.0 Cr,₹ 30,-,1.3x,4.1x,2.7x,30.0,28.5,0.0%,-16.5%,SME
