,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
250,Global Health,9.58 x Oversubscribed,"₹14,784",44,"₹20,939.8 M - ₹22,055.7 M",65.6 M,₹319 - ₹336,75.52 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: MEDANTA | BSE: 543654
251,Amiable Logistic,233.85 x Oversubscribed,"₹129,600",1600,₹43.7 M,539.2 K,₹81,69.16 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: AMIABLE
252,Fusion Micro Finance,2.95 x Oversubscribed,"₹14,720",40,"₹10,500.0 M - ₹11,040.0 M",30.0 M,₹350 - ₹368,70.19 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: FUSION | BSE: 543652
253,Vital Chemtech,79.32 x Oversubscribed,"₹121,200",2000,₹608.0 M - ₹646.4 M,6.4 M,₹95 - ₹101,73.28 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: VITAL
254,DAPS Advertising,65.85 x Oversubscribed,"₹120,000",4000,₹51.0 M,1.7 M,₹30,67.15 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,BSE: 543651
255,DCX Systems,69.78 x Oversubscribed,"₹14,904",72,"₹4,758.5 M - ₹5,000.0 M",24.2 M,₹197 - ₹207,75.03 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: DCXINDIA | BSE: 543650
256,Integrated Personnel,19.58 x Oversubscribed,"₹118,000",2000,₹127.4 M,2.2 M,₹59,70.03 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: IPSL
257,Rite Zone Chemcon,4.73 x Oversubscribed,"₹120,000",1600,₹89.6 M,1.2 M,₹75,71.75 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION MATERIALS,NSE: RITEZONE
258,Phantom Digital,164.21 x Oversubscribed,"₹114,000",1200,₹278.8 M - ₹291.0 M,3.1 M,₹91 - ₹95,73.68 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: PHANTOMFX
259,Pace E-Commerce,1.14 x Oversubscribed,"₹123,600",1200,₹665.3 M,6.5 M,₹103,71.33 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 543637
260,Tracxn Technologies,2.01 x Oversubscribed,"₹14,800",185,"₹2,900.4 M - ₹3,093.8 M",38.7 M,₹75 - ₹80,61.45 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: TRACXN | BSE: 543638
261,Electronics Mart,71.93 x Oversubscribed,"₹14,986",254,"₹4,745.8 M - ₹5,000.0 M",84.7 M,₹56 - ₹59,77.97 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: EMIL | BSE: 543626
262,Maagh Advertising,0.27 x Undersubscribed,"₹120,000",2000,₹91.2 M,1.5 M,₹60,53.66 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,BSE: 543624
263,Frog Cellsat,21.06 x Oversubscribed,"₹122,400",1200,₹395.3 M - ₹415.7 M,4.1 M,₹97 - ₹102,73.49 %,SECTOR : TELECOMMUNICATIONS EQUIPMENT,INDUSTRY : TELECOM EQUIPMENT,NSE: FROG
264,Vedant Asset,48.65 x Oversubscribed,"₹120,000",3000,₹30.0 M,750.0 K,₹40,72.84 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 543623
265,Swastik Pipe,1.35 x Oversubscribed,"₹120,000",1200,₹606.4 M - ₹625.2 M,6.3 M,₹97 - ₹100,73.09 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: SWASTIK
266,QMS Medical Allied,0.88 x Undersubscribed,"₹121,000",1000,₹568.7 M,4.7 M,₹121,73.67 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,NSE: QMSMEDI
267,Lloyds Luxuries,6.73 x Oversubscribed,"₹120,000",3000,₹240.0 M,6.0 M,₹40,73.33 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : SPECIAL CONSUMER SERVICES,NSE: LLOYDS
268,Insolation Energy,192.71 x Oversubscribed,"₹114,000",3000,₹209.9 M - ₹221.6 M,5.8 M,₹36 - ₹38,72.01 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,BSE: 543620
269,Steelman Telecom,22.38 x Oversubscribed,"₹115,200",1200,₹260.2 M,2.7 M,₹96,71.98 %,SECTOR : TELECOM SERVICES,INDUSTRY : TELECOM SERVICES,BSE: 543622
270,Trident Lifeline,1.34 x Oversubscribed,"₹121,200",1200,₹353.4 M,3.5 M,₹101,69.57 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 543616
271,Cyber Media Research,22.31 x Oversubscribed,"₹144,000",800,₹133.4 M - ₹140.4 M,780.0 K,₹171 - ₹180,73.36 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: CMRSL
272,Concord Control,202.21 x Oversubscribed,"₹110,000",2000,₹81.2 M - ₹84.3 M,1.5 M,₹53 - ₹55,73.27 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,BSE: 543619
273,Cargotrans Maritime,148.13 x Oversubscribed,"₹135,000",3000,₹48.6 M,1.1 M,₹45,73.53 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 543618
274,Reetech International,1.67 x Oversubscribed,"₹126,000",1200,₹117.1 M,1.1 M,₹105,73.63 %,SECTOR : METALS & MINING,INDUSTRY : COAL & MINING,BSE: 543617
275,Silicon Rental Solutions,2.89 x Oversubscribed,"₹124,800",1600,₹211.5 M,2.7 M,₹78,73.6 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 543615
276,Cargosol Logistics,55.3 x Oversubscribed,"₹112,000",4000,₹75.6 M,2.7 M,₹28,73.53 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,BSE: 543621
277,Mafia Trends,4.94 x Oversubscribed,"₹112,000",4000,₹36.0 M,1.3 M,₹28,71.04 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,BSE: 543613
278,Containe Tech,115.66 x Oversubscribed,"₹120,000",8000,₹26.2 M,1.7 M,₹15,72.07 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,BSE: 543606
279,Maks Energy Solutions,26.3 x Oversubscribed,"₹120,000",6000,₹40.0 M,2.0 M,₹20,71.19 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: MAKS
280,Kandarp Digi Smart,1.84 x Oversubscribed,"₹120,000",4000,₹81.0 M,2.7 M,₹30,69.91 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,NSE: KANDARP
281,Annapurna Swadisht,133.41 x Oversubscribed,"₹140,000",2000,₹293.9 M - ₹302.5 M,4.3 M,₹68 - ₹70,73.68 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: ANNAPURNA
282,Varanium Cloud,5.46 x Oversubscribed,"₹122,000",1000,₹366.0 M,3.0 M,₹122,70.15 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: CLOUD
283,Harsha Engineers,74.69 x Oversubscribed,"₹14,850",45,"₹7,183.9 M - ₹7,550.0 M",22.9 M,₹314 - ₹330,74.87 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: HARSHA | BSE: 543600
284,Ishan International,1.62 x Oversubscribed,"₹128,000",1600,₹182.4 M,2.3 M,₹80,68.37 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: ISHAN
285,Tapi Fruit Processing,2.62 x Oversubscribed,"₹144,000",3000,₹52.1 M,1.1 M,₹48,72.25 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: TAPIFRUIT
286,Sabar Flex,85.38 x Oversubscribed,"₹110,000",10000,₹44.8 M,4.1 M,₹11,72.99 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: SABAR
287,Mega Flex Plastics,45.94 x Oversubscribed,"₹120,000",3000,₹114.0 M,2.9 M,₹40,73.48 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,NSE: MEGAFLEX
288,Shantidoot Infra Serv,2.85 x Oversubscribed,"₹129,600",1600,₹40.2 M,496.0 K,₹81,72.41 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543598
289,Viviana Power Tech,85.14 x Oversubscribed,"₹110,000",2000,₹88.0 M,1.6 M,₹55,73.2 %,SECTOR : UTILITIES,INDUSTRY : POWER - ELECTRIC UTILITIES,NSE: VIVIANA
290,Virtuoso Optoelectronics,96.83 x Oversubscribed,"₹112,000",2000,₹302.4 M,5.4 M,₹56,73.51 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,BSE: 543597
291,Tamilnad Mercantile Bank,2.86 x Oversubscribed,"₹14,700",28,"₹7,920.0 M - ₹8,316.0 M",15.8 M,₹500 - ₹525,-,SECTOR : BANKING AND FINANCE,INDUSTRY : BANKS,NSE: TMB | BSE: 543596
292,EP Biocomposites,18.51 x Oversubscribed,"₹126,000",1000,₹63.5 M,504.0 K,₹126,70.03 %,SECTOR : UTILITIES,INDUSTRY : WASTE MANAGEMENT,BSE: 543595
293,JFL Life Sciences,8.93 x Oversubscribed,"₹122,000",2000,₹181.7 M,3.0 M,₹61,72.92 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: JFLLIFE
294,Jay Jalaram Tech,14.97 x Oversubscribed,"₹108,000",3000,₹108.0 M,3.0 M,₹36,73.05 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: KORE
295,Dipna Pharmachem,2.77 x Oversubscribed,"₹114,000",3000,₹152.1 M,4.0 M,₹38,66.57 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 543594
296,Ameya Precision Engineers,251.35 x Oversubscribed,"₹136,000",4000,₹71.4 M,2.1 M,₹34,72 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: AMEYA
297,Dreamfolks Services,56.68 x Oversubscribed,"₹14,996",46,"₹5,310.6 M - ₹5,621.0 M",17.2 M,₹308 - ₹326,67 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: DREAMFOLKS | BSE: 543591
298,Rhetan TMT,1.47 x Oversubscribed,"₹140,000",2000,₹560.0 M,8.0 M,₹70,62.35 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,BSE: 543590
299,Naturo bull,20.26 x Oversubscribed,"₹120,000",4000,₹109.2 M,3.6 M,₹30,64.31 %,SECTOR : FMCG,INDUSTRY : PERSONAL PRODUCTS,BSE: 543579
300,Olatech Solutions,598.82 x Oversubscribed,"₹108,000",4000,₹18.9 M,700.0 K,₹27,70.09 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,BSE: 543578
301,Syrma SGS Technology,32.61 x Oversubscribed,"₹14,960",68,"₹7,981.2 M - ₹8,401.3 M",38.2 M,₹209 - ₹220,78.33 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: SYRMA | BSE: 543573
302,Veekayem Fashion,301.47 x Oversubscribed,"₹112,000",4000,₹44.4 M,1.6 M,₹28,73.04 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: VEEKAYEM
303,Upsurge Seeds,80.5 x Oversubscribed,"₹144,000",1200,₹228.1 M,1.9 M,₹120,73.08 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: USASEEDS
304,Agni Green Power,73.66 x Oversubscribed,"₹100,000",10000,₹52.5 M,5.3 M,₹10,73.12 %,SECTOR : UTILITIES,INDUSTRY : GREEN & RENEWABLE ENERGY,NSE: AGNI
305,Healthy Life Agritec,8.2 x Oversubscribed,"₹100,000",10000,₹100.0 M,10.0 M,₹10,54.57 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 543546
306,SKP Bearing,10.05 x Oversubscribed,"₹140,000",2000,₹308.0 M,4.4 M,₹70,73.49 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: SKP
307,Jayant Infratech,3.99 x Oversubscribed,"₹134,000",2000,₹61.9 M,924.0 K,₹67,71.44 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 543544
308,B-Right Realestate,1.21 x Oversubscribed,"₹122,400",800,₹443.6 M,2.9 M,₹153,71.94 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543543
309,Mangalam Drugs,1.33 x Oversubscribed,"₹121,200",1200,₹655.8 M,6.5 M,₹101,73.5 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: MANGALAM | BSE: 532637
310,Kesar,1.77 x Oversubscribed,"₹136,000",800,₹158.2 M,930.4 K,₹170,73.65 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543542
311,KCK Industries,5.9 x Oversubscribed,"₹120,000",4000,₹45.0 M,1.5 M,₹30,72.73 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: KCK
312,Sailani Travels,3.24 x Oversubscribed,"₹120,000",8000,₹18.6 M,1.3 M,₹15,73.13 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,BSE: 543541 | GSM
313,Pearl Green Clubs,1.56 x Oversubscribed,"₹111,600",600,₹117.1 M,630.0 K,₹186,73.39 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 543540
314,Modis Navnirman,1.99 x Oversubscribed,"₹144,000",800,₹226.8 M,1.3 M,₹180,70.21 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543539
315,Goel Food Products,1.64 x Oversubscribed,"₹115,200",1600,₹72.1 M,1.0 M,₹72,73.44 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,BSE: 543538
316,Scarnose Intl,2.22 x Oversubscribed,"₹110,000",2000,₹66.0 M,1.2 M,₹55,61.9 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,BSE: 543537
317,Silver Pearl Hospitality,1.68 x Oversubscribed,"₹144,000",8000,₹90.0 M,5.0 M,₹18,36.33 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,BSE: 543536
318,Rachana Infra,1.21 x Oversubscribed,"₹135,000",1000,₹762.8 M,5.7 M,₹135,69.63 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: RILINFRA
319,Fidel Softech,102.89 x Oversubscribed,"₹111,000",3000,₹135.0 M,3.6 M,₹37,73.47 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: FIDEL
320,Aether Industries,6.26 x Oversubscribed,"₹14,766",23,"₹7,677.8 M - ₹8,080.6 M",12.6 M,₹610 - ₹642,89.89 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: AETHER | BSE: 543534
321,Globesecure Tech,14.17 x Oversubscribed,"₹116,000",4000,₹101.3 M,3.5 M,₹29,61.66 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: GSTL
322,eMudhra,2.72 x Oversubscribed,"₹14,848",58,"₹3,918.2 M - ₹4,127.8 M",16.1 M,₹243 - ₹256,81.25 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: EMUDHRA | BSE: 543533
323,Ethos,1.04 x Oversubscribed,"₹14,926",17,"₹4,496.8 M - ₹4,722.7 M",5.4 M,₹836 - ₹878,76.96 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: ETHOSLTD | BSE: 543532
324,Paradeep Phosphates,1.75 x Oversubscribed,"₹14,700",350,"₹13,944.7 M - ₹15,017.3 M",357.6 M,₹39 - ₹42,56.1 %,SECTOR : FERTILIZERS,INDUSTRY : FERTILIZERS,NSE: PARADEEP | BSE: 543530
325,Venus Pipes & Tubes,16.31 x Oversubscribed,"₹14,996",46,"₹1,573.0 M - ₹1,654.2 M",5.1 M,₹310 - ₹326,4.82 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: VENUSPIPES | BSE: 543528
326,Delhivery,1.63 x Oversubscribed,"₹14,610",30,"₹49,672.9 M - ₹52,360.8 M",107.5 M,₹462 - ₹487,-,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: DELHIVERY | BSE: 543529
327,Prudent Corporate,1.22 x Oversubscribed,"₹14,490",23,"₹5,086.9 M - ₹5,386.1 M",8.5 M,₹595 - ₹630,79.35 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,NSE: PRUDENT | BSE: 543527
328,Life Insurance Corp,2.95 x Oversubscribed,"₹14,235",15,"₹199,680.2 M - ₹210,084.8 M",221.4 M,₹902 - ₹949,96.5 %,SECTOR : BANKING AND FINANCE,INDUSTRY : LIFE INSURANCE,NSE: LICI | BSE: 543526
329,Sonu Infratech,16.52 x Oversubscribed,"₹108,000",3000,₹86.4 M,2.4 M,₹36,69.43 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: SONUINFRA
330,Rainbow Childrens Medicare,12.43 x Oversubscribed,"₹14,634",27,"₹15,050.2 M - ₹15,808.5 M",29.2 M,₹516 - ₹542,62.19 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: RAINBOW | BSE: 543524
331,Campus Activewear,51.75 x Oversubscribed,"₹14,892",51,"₹13,330.1 M - ₹14,001.4 M",48.0 M,₹278 - ₹292,84.24 %,SECTOR : RETAILING,INDUSTRY : FOOTWEAR,NSE: CAMPUS | BSE: 543523
332,Le Merite Exports,6.43 x Oversubscribed,"₹120,000",1600,₹480.0 M,6.4 M,₹74.99,72.74 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: LEMERITE
333,Fone4 Communications,14.75 x Oversubscribed,"₹100,000",10000,₹68.0 M,6.8 M,₹10,60.12 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,BSE: 543521
334,Nanavati Ventures,32.52 x Oversubscribed,"₹150,000",3000,₹21.8 M,436.0 K,₹50.02,73.51 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543522
335,Jeena Sikho Lifecare,2.25 x Oversubscribed,"₹150,000",1000,₹555.0 M,3.7 M,₹150,73.21 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: JSLL
336,Hariom Pipe,7.93 x Oversubscribed,"₹14,994",98,"₹1,224.0 M - ₹1,300.5 M",8.5 M,₹144 - ₹153,66.64 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: HARIOMPIPE | BSE: 543517
337,Eighty Jewellers,2.45 x Oversubscribed,"₹123,000",3000,₹110.7 M,2.7 M,₹41,73.53 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,BSE: 543518
338,Sunrise Efficient,1.46 x Oversubscribed,"₹121,000",1000,₹167.0 M,1.4 M,₹121,72.4 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543515
339,Dhyaani Tradeventures,2.16 x Oversubscribed,"₹102,000",2000,₹24.5 M,480.0 K,₹51,68.42 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543516
340,Uma Exports,7.67 x Oversubscribed,"₹14,960",220,₹573.5 M - ₹600.0 M,8.8 M,₹65 - ₹68,73.9 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: UMAEXPORTS | BSE: 543513
341,Veranda Learning,3.53 x Oversubscribed,"₹13,700",100,"₹1,897.8 M - ₹2,000.0 M",14.6 M,₹130 - ₹137,73.83 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT TRAINING SERVICES,NSE: VERANDA | BSE: 543514
342,Krishna Defence & Allied,74.84 x Oversubscribed,"₹117,000",3000,₹112.8 M - ₹118.9 M,3.0 M,₹37 - ₹39,73.38 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: KRISHNADEF
343,Global Longlife Hospital,1.5 x Oversubscribed,"₹140,000",1000,₹490.0 M,3.5 M,₹140,66.67 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,BSE: 543520
344,Shashwat Furnishing,4.62 x Oversubscribed,"₹135,000",3000,₹25.1 M,558.0 K,₹44.99,73.28 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,BSE: 543519
345,P E Analytics,46.34 x Oversubscribed,"₹136,800",1200,₹307.7 M - ₹316.0 M,2.8 M,₹111 - ₹114,73.55 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: PROPEQUITY
346,Krishival Foods,2.28 x Oversubscribed,"₹111,000",3000,₹194.1 M,5.2 M,₹37,73.49 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: KRISHIVAL | BSE: 544416
347,Evoq Remedies,1.67 x Oversubscribed,"₹108,000",4000,₹97.2 M,3.6 M,₹27,73.53 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : HEALTHCARE SUPPLIES,BSE: 543500 | GSM
348,Achyut Healthcare,4.35 x Oversubscribed,"₹120,000",6000,₹36.0 M,1.8 M,₹20,73.3 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 543499 | ASM
349,KN Agri Resources,151.9 x Oversubscribed,"₹120,000",1600,₹467.5 M - ₹493.8 M,6.6 M,₹71 - ₹75,73.66 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: KNAGRI
350,Swaraj Suiting,12.13 x Oversubscribed,"₹112,000",2000,₹106.8 M,1.9 M,₹56,73.5 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: SWARAJ
351,Cool Caps Industries,7.91 x Oversubscribed,"₹114,000",3000,₹110.2 M - ₹116.3 M,3.1 M,₹36 - ₹38,73.53 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: COOLCAPS
352,Bhatia Colour Chem,1.43 x Oversubscribed,"₹128,000",1600,₹400.0 M,5.0 M,₹80,59.13 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,BSE: 543497
353,SP Refractories,7.24 x Oversubscribed,"₹144,000",1600,₹49.2 M,547.2 K,₹90,69.42 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,NSE: SPRL
354,Shigan Quantum Tech,17.95 x Oversubscribed,"₹150,000",3000,₹227.0 M,4.5 M,₹50,100 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: SHIGAN
355,Ekennis Software,28 x Oversubscribed,"₹115,200",1600,₹28.8 M,400.0 K,₹72,71.43 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 543475 | ASM
356,Vaidya Sane Ayurved,2.82 x Oversubscribed,"₹116,800",1600,₹202.3 M,2.8 M,₹73,73.64 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: MADHAVBAUG
357,Richa Info Systems,5.05 x Oversubscribed,"₹125,000",1000,₹100.0 M,800.0 K,₹125,67.08 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: RICHA
358,Vedant Fashions,2.57 x Oversubscribed,"₹14,722",17,"₹29,964.6 M - ₹31,491.9 M",36.4 M,₹824 - ₹866,92.4 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: MANYAVAR | BSE: 543463
359,Maruti Interior Products,73.42 x Oversubscribed,"₹110,000",2000,₹110.0 M,2.0 M,₹55,73.51 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,BSE: 543464
360,Safa Systems & Tech,52.71 x Oversubscribed,"₹100,000",10000,₹40.0 M,4.0 M,₹10,73.47 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : DISTRIBUTORS,BSE: 543461
361,Quality RO Industries,7.26 x Oversubscribed,"₹102,000",2000,₹27.0 M,530.0 K,₹51,72.54 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL GOODS,BSE: 543460
362,Adani Wilmar,17.37 x Oversubscribed,"₹14,950",65,"₹34,223.6 M - ₹36,107.5 M",157.0 M,₹218 - ₹230,87.92 %,SECTOR : FMCG,INDUSTRY : EDIBLE OILS,NSE: AWL | BSE: 543458
363,Alkosign,4.76 x Oversubscribed,"₹135,000",3000,₹121.5 M,2.7 M,₹45,50.41 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY PRINTING/STATIONERY,BSE: 543453
364,Precision Metaliks,7.36 x Oversubscribed,"₹102,000",2000,₹219.3 M,4.3 M,₹51,73.55 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: PRECISION
